answers;H;(H);(Hd);A;(A);Ad;At;Sex;Obj;Aobj;Aat;Food;N;Geo;Pi;Arch;Art;Abs;Bi;Ti;Ci
"Картина, на которой изображены абстрактные фигуры и цвета.";;;;;;;;;1;;;;;;;;;;;;
"Вязаная игрушка,изображает забавного котенка с большими глазами и пушистым хвостом.";;;;1;;1;;;1;;;;;;;;;;;;
"Кованая лавочка, украшенная ковкой и резьбой.";;;;;;;;;1;;;;;;;;;;;;
"Живопись на стекле, изображающая цветы и птиц.";;;;1;;;;;1;;;;;;1;;;;;;
"Ручная роспись на керамических изделиях, изображающая абстрактные узоры и геометрические фигуры.";;;;;;;;;1;;;;;;;;;;;;
Мозаика из стеклянных кусочков.;;;;;;;;;1;;;;;;;;;;;;
"Картина, на которой изображена зимняя природа с снежными пейзажами и лесными зверями.";;;;1;;;;;1;;;;1;;;;;;;;
"Поделка из дерева, изображает птицу на ветке с распустившимися цветами.";;;;1;;;;;1;;;;;;;;;;;;
"Кованая скульптура, изображающая абстрактные фигуры и узоры.";;;;;;;;;1;;;;;;;;;;;;
"Керамическая ваза, вылепленная вручную, украшенная геометрическими узорами и цветочными мотивами.";;;;;;;;;1;;;;;;;;;;;;
"Поделка из глины, представляет собой миниатюрный замок с башнями и стенами.";;;;;;;;;1;;;;;;;1;;;;;
"Картина, на которой изображены природные пейзажи с горами и озерами.";;;;;;;;;1;;;;1;;;;;;;;
"Вязаная игрушка, изображает забавного попугая с яркими перьями и веселым взглядом.";;;;1;;;;;1;;;;;;;;;;;;
"Кованая решетка на окне, украшенная ковкой и резьбой.";;;;;;;;;1;;;;;;;;;;;;
"Живопись на стекле, выполненная ручной росписью, изображает абстрактные узоры и геометрические фигуры.";;;;;;;;;1;;;;;;;;;;;;
Ручная вышивка на ткани.;;;;;;;;;1;;;;;;;;;;;;
"Мозаичный коврик, сделанный из кусочков керамической плитки.";;;;;;;;;1;;;;;;;;;;;;
Поделка из природных материалов - сосновых шишек и сухих листьев.;;;;;;;;;1;;;;;;1;;;;;;
"Ручная роспись на стене, изображающая абстрактные узоры и цветы.";;;;;;;;;1;;;;;;1;;;;;;
"Миниатюрная кукольная мебель, сделанная из дерева.";;;;;;;;;1;;;;;;;;;;;;
"Картина, на которой изображен весенний луг с цветами и бабочками.";;;;1;;;;;1;;;;1;;;;;;;;
"Поделка из глины, выполненная в технике лепки, представляет собой миниатюрный городок с домами и улицами.";;;;;;;;;1;;;;;;;1;;;;;
"Миниатюрная фигурка животного, изготовленная из полимерной глины.";;;;1;;;;;1;;;;;;;;;;;;
"Картина, на которой изображены осенние листья и птицы.";;;;1;;;;;1;;;;;;1;;;;;;
"Вязаная игрушка, сделанная крючком, изображает забавного кролика с мягкими ушками и пушистым хвостом.";;;;1;;1;;;1;;;;;;;;;;;;
"Ручная вышивка на подушках, изображающая узоры и рисунки.";;;;;;;;;1;;;;;;;;;;;;
"Мозаичный коврик, сделанный из кусочков керамической плитки.";;;;;;;;;1;;;;;;;;;;;;
"Шикарное пальто из натурального меха норки, созданное мастером-меховиком.";;;;;;;;;;1;;;;;;;;;;;
Мягкий и теплый шарф из шерсти альпаки.;;;;;;;;;;1;;;;;;;;;;;
Прекрасная шапка из натурального меха енота с добавлением меха песца создает стильный и модный образ.;;;;;;;;;;1;;;;;;;;;;;
Элегантная сумка из меха кролика и кожи.;;;;;;;;;;1;;;;;;;;;;;
Шуба из меха лисы с изысканным отделкой из меха норки.;;;;;;;;;;1;;;;;;;;;;;
Теплые варежки из овчины с вставками из меха оленя.;;;;;;;;;;1;;;;;;;;;;;
Стильный пиджак из меха бобра и кожи.;;;;;;;;;;1;;;;;;;;;;;
Уютный плед из меха альпаки.;;;;;;;;;;1;;;;;;;;;;;
Нежный и теплый кардиган из меха ангорского кролика.;;;;;;;;;;1;;;;;;;;;;;
Шарф-хомут из меха норки.;;;;;;;;;;1;;;;;;;;;;;
Модная шапка-бини из меха норки и кожи.;;;;;;;;;;1;;;;;;;;;;;
Комфортные тапочки из меха овцы.;;;;;;;;;;1;;;;;;;;;;;
Шубка для малыша из натурального меха кролика.;;;;;;;;;;1;;;;;;;;;;;
Элегантная куртка из меха козы с добавлением меха норки.;;;;;;;;;;1;;;;;;;;;;;
Стильный рюкзак из меха енота и кожи.;;;;;;;;;;1;;;;;;;;;;;
Уютные наушники из меха овцы.;;;;;;;;;;1;;;;;;;;;;;
Эксклюзивная сумка-клатч из меха лисы и кожи.;;;;;;;;;;1;;;;;;;;;;;
Теплый плед из меха альпаки и шерсти мериноса.;;;;;;;;;;1;;;;;;;;;;;
Модный жакет из меха кролика и кожи.;;;;;;;;;;1;;;;;;;;;;;
Пушистый пончо из меха ламы.;;;;;;;;;;1;;;;;;;;;;;
Стильный шарф-снуд из меха норки и кашемира.;;;;;;;;;;1;;;;;;;;;;;
Элегантная шуба из меха медведя с добавлением меха песца.;;;;;;;;;;1;;;;;;;;;;;
Теплые нарукавники из меха лисы.;;;;;;;;;;1;;;;;;;;;;;
Уютные панамы из меха овцы с ушками.;;;;;;;;;;1;;;;;;;;;;;
Подушка из меха альпаки и шерсти мериноса.;;;;;;;;;;1;;;;;;;;;;;
Эксклюзивный пиджак из меха кролика и кожи.;;;;;;;;;;1;;;;;;;;;;;
